# gg_dump v1
# node	id	cube_idx	cube_id	gid	k	du	prior	n_prior	comp
node	0	0	z04736_y03456_x02560	0	0	2.5643092836580763	-0.17096892512214118	38	0
node	1	0	z04736_y03456_x02560	1	1	-2.9018285905675612	0.28721462253831698	38	1
node	2	0	z04736_y03456_x02560	2	0	131.92580734508255	0.078869435440279481	43	2
node	3	0	z04736_y03456_x02560	3	-1	123.23412637339987	0.38175397974572423	30	2
node	4	0	z04736_y03456_x02560	4	-2	-10.784103482697446	-0.55439046141296489	54	3
node	5	0	z04736_y03456_x02560	5	1	0	0.64100100745782473	132	4
node	6	1	z04608_y03072_x02560	0	1	-1.2761468753506051	-0.46746601751624894	47	5
node	7	1	z04608_y03072_x02560	1	2	1.2661935356259164	-0.35360902993680732	44	6
node	8	1	z04608_y03072_x02560	2	-1	-0.79848773460025768	-0.37236789745704019	48	7
node	9	1	z04608_y03072_x02560	3	1	8.3234315723229884	0.027000243294201507	41	8
node	10	1	z04608_y03072_x02560	4	-1	1.934031227419382	0.28067016456019117	38	8
node	11	1	z04608_y03072_x02560	5	3	0.46978256787906503	0.61199464121507674	52	9
node	12	1	z04608_y03072_x02560	6	-3	-0.85885609317438139	0.3523456339540727	34	10
node	13	1	z04608_y03072_x02560	7	0	1.2795989424276968	-0.24721680038308738	34	11
node	14	1	z04608_y03072_x02560	8	4	7.7087199002316993	0.135145170504781	37	12
node	15	1	z04608_y03072_x02560	9	-3	4.4314456348342901	0.16572864337817855	66	13
node	16	2	z04736_y03456_x03072	0	13	-26.984539801818869	0.16632531596850542	50	2
node	17	2	z04736_y03456_x03072	1	11	53.058451397532338	-0.091795724129628997	48	2
node	18	2	z04736_y03456_x03072	2	10	-49.509393369543432	0.1003493071861344	45	2
node	19	2	z04736_y03456_x03072	3	12	110.65177246431125	0.66398947254004947	37	2
node	20	2	z04736_y03456_x03072	4	5	-86.599476980776387	0.16312440844827519	29	2
node	21	2	z04736_y03456_x03072	5	1	0	0.83282442067482909	22	14
node	22	2	z04736_y03456_x03072	6	15	137.5972264495137	-0.30928573365195633	25	2
node	23	3	z04736_y03200_x02944	0	-1	-37.487571216432116	3.5385167186605235	92	2
node	24	3	z04736_y03200_x02944	1	5	-1.199337225775821	-0.28188729364158016	16	2
node	25	3	z04736_y03200_x02944	2	0	0	0.44393901360856702	1	15
node	26	3	z04736_y03200_x02944	3	0	0	-0.11817069097174837	1	16
node	27	3	z04736_y03200_x02944	4	0	0	0.23895964892019705	1	17
node	28	3	z04736_y03200_x02944	5	0	0	0.45801200702522138	1	18
node	29	3	z04736_y03200_x02944	6	0	0	0.26485365443754583	35	19
node	30	3	z04736_y03200_x02944	7	-5	-93.536509857224928	-0.024378118885270712	34	2
node	31	3	z04736_y03200_x02944	8	0	0	0.027102401216563266	1	20
node	32	3	z04736_y03200_x02944	9	-6	-36.670445259957432	0.54453975094344897	35	0
node	33	3	z04736_y03200_x02944	10	-3	74.995138971114613	0.20098886966080223	34	2
node	34	3	z04736_y03200_x02944	12	-7	126.47603715047802	-0.56309112466900846	34	2
node	35	3	z04736_y03200_x02944	13	-3	-114.67070240096291	0.014743022235215899	51	2
node	36	3	z04736_y03200_x02944	14	0	0	0.36662399536175005	187	21
node	37	3	z04736_y03200_x02944	15	2	-0.58816612544728741	-0.074109850710989425	42	22
node	38	4	z04608_y03072_x03072	0	6	-36.119685132492918	0.20180305519874819	39	1
node	39	4	z04608_y03072_x03072	1	14	-23.861934638143794	0.29657646808310051	36	23
node	40	4	z04608_y03072_x03072	2	14	-49.686481516945378	0.39063043928211677	28	24
node	41	4	z04608_y03072_x03072	3	4	-18.209819833091956	-0.068454951189448471	29	0
node	42	4	z04608_y03072_x03072	4	15	-70.003657596556536	-0.64956503800126053	45	13
node	43	4	z04608_y03072_x03072	5	9	-21.38508705909021	-0.97233927357607519	34	11
node	44	4	z04608_y03072_x03072	6	18	-34.014295836401743	0.71405153431650747	92	11
node	45	5	z04352_y03072_x02560	0	8	10.986447511746974	0.13911018441679576	46	6
node	46	5	z04352_y03072_x02560	1	6	4.5654746502186754	0.52177854115817623	22	5
node	47	5	z04352_y03072_x02560	2	5	-6.9461193858810475	-0.079224598891262099	49	8
node	48	5	z04352_y03072_x02560	3	3	2.356855124183312	0.035867296255572223	46	10
node	49	5	z04352_y03072_x02560	4	2	7.7511059794360335	0.21199753142869343	41	11
node	50	5	z04352_y03072_x02560	5	4	-0.81930603732189411	0.34138035438562919	38	13
node	51	5	z04352_y03072_x02560	6	7	12.539355099743716	0.040070390066628769	34	8
node	52	5	z04352_y03072_x02560	7	5	7.1744926939127254	0.46356080766084479	29	7
node	53	5	z04352_y03072_x02560	8	0	0	0.10880834636134623	26	24
node	54	5	z04352_y03072_x02560	9	1	7.9533472580430953	-0.24842286810561492	49	23
node	55	5	z04352_y03072_x02560	10	1	1.9872881237297406	0.40754188479601811	37	25
node	56	6	z04480_y03456_x02560	0	3	127.36710072623049	0.24622759580403158	46	2
node	57	6	z04480_y03456_x02560	1	3	3.3313259926412684	0.067322001011955318	43	0
node	58	6	z04480_y03456_x02560	2	3	102.95711805841262	0.76811574453100062	35	2
node	59	6	z04480_y03456_x02560	3	0	3.9678956314955371	-0.24222202526378811	32	2
node	60	6	z04480_y03456_x02560	4	5	2.1619160478907133	0.033954889967271619	30	1
node	61	6	z04480_y03456_x02560	5	2	2.545066175483953	-0.019353646980309482	46	3
node	62	7	z04352_y03072_x03072	0	10	-45.733707268496232	0.13766081948872175	44	1
node	63	7	z04352_y03072_x03072	1	11	-36.336798714485326	0.82798301589937873	41	0
node	64	7	z04352_y03072_x03072	2	18	-48.219637275639798	-0.27672708037764887	33	23
node	65	7	z04352_y03072_x03072	3	12	102.37831223287225	0.83551747080368644	37	2
node	66	7	z04352_y03072_x03072	4	16	-49.071469987911541	-1.5359083676537966	39	24
node	67	7	z04352_y03072_x03072	5	12	50.320631797630597	0.48295855980303798	27	2
node	68	8	z04480_y03200_x02944	0	-1	-99.841512079070981	0.13414698742476236	43	2
node	69	8	z04480_y03200_x02944	1	3	-59.932653392365751	-0.022690962424640866	38	2
node	70	8	z04480_y03200_x02944	2	5	-32.005419364267482	-0.11899574429560059	37	2
node	71	8	z04480_y03200_x02944	3	2	70.175318258135178	-0.61722308886693311	47	2
node	72	8	z04480_y03200_x02944	4	-4	136.42875619842374	0.32711643135040486	49	2
node	73	8	z04480_y03200_x02944	5	0	0	0.45569261041010173	106	26
node	74	8	z04480_y03200_x02944	6	0	-121.16199738681166	-0.067304563841250303	33	2
node	75	8	z04480_y03200_x02944	7	4	1.0794811748091888	0.52892027459806534	27	22
node	76	9	z04480_y03456_x03072	0	7	124.03278833100484	0.15179881162932965	44	2
node	77	9	z04480_y03456_x03072	1	4	94.815653917039924	-0.12651813326735015	38	2
node	78	9	z04480_y03456_x03072	2	5	21.15180828846951	-0.52294449921232511	34	0
node	79	9	z04480_y03456_x03072	3	4	38.299187794268676	0.068648864901865142	37	2
node	80	9	z04480_y03456_x03072	4	4	15.907793075835002	-0.095967251933926134	29	1
node	81	9	z04480_y03456_x03072	5	5	-29.055778336163144	-0.026345601599667923	32	2
node	82	9	z04480_y03456_x03072	6	3	1.0676574601756101	-0.5666563060258426	29	27
node	83	9	z04480_y03456_x03072	7	3	-64.912884379259594	-0.33460192755159818	23	2
node	84	9	z04480_y03456_x03072	8	1	-123.30609234043095	-0.37922025487515493	37	2
node	85	10	z04480_y03200_x02816	0	-3	-117.72248072906746	-0.16351815608185571	44	2
node	86	10	z04480_y03200_x02816	1	2	-0.828600636523106	-1.4062356932005042	68	22
node	87	10	z04480_y03200_x02816	3	-5	-49.716752676232204	-0.55947188060203479	47	2
node	88	10	z04480_y03200_x02816	4	-5	86.882211480421631	-0.15792094749663954	41	2
node	89	10	z04480_y03200_x02816	5	-3	-0.50922675018341579	-0.16966880981365948	46	2
node	90	10	z04480_y03200_x02816	6	-7	137.62966654935184	-0.4881017305450121	68	2
node	91	10	z04480_y03200_x02816	7	-6	-37.66792245985971	-0.068759175668567235	38	2
node	92	10	z04480_y03200_x02816	8	-10	-2.1636997131455473	-0.30638663132968197	35	0
node	93	11	z04480_y03584_x02560	0	0	0	-0.59740347934724625	48	3
node	94	11	z04480_y03584_x02560	1	3	-0.097426083655477669	0.24080728700407686	38	1
node	95	11	z04480_y03584_x02560	2	2	3.0391812652642329	-0.1503343945428042	26	0
node	96	11	z04480_y03584_x02560	3	3	126.80394226052539	0.36377247303933519	46	2
node	97	12	z04736_y03328_x03072	0	10	-47.640252744543432	0.67385436583792391	37	2
node	98	12	z04736_y03328_x03072	1	17	-20.196391789365521	-0.07116431897639755	72	2
node	99	12	z04736_y03328_x03072	2	5	-103.9184090778806	0.68104727881971472	30	2
node	100	12	z04736_y03328_x03072	3	15	56.87451271614151	0.49049330383342493	38	2
node	101	12	z04736_y03328_x03072	4	14	58.700953440097294	-0.31838535069068485	50	2
node	102	13	z04352_y03200_x02688	0	0	3.8209689936436462	-0.43665386265276712	48	2
node	103	13	z04352_y03200_x02688	1	-2	99.289976267980876	-0.15095204456778202	46	2
node	104	13	z04352_y03200_x02688	2	-3	140.54533401846987	0.35037161853425575	50	2
node	105	13	z04352_y03200_x02688	3	-2	-30.403081327443942	-0.093454874453443013	46	2
node	106	13	z04352_y03200_x02688	4	-5	-2.4687223625842307	0.0096529569884661985	39	0
node	107	13	z04352_y03200_x02688	5	0	2.646728515625	0.22779938673053757	36	28
node	108	13	z04352_y03200_x02688	6	-5	-35.391320068758887	-0.24977110234969135	28	2
node	109	13	z04352_y03200_x02688	7	-7	-18.597840128932489	-0.57567986157457063	27	1
node	110	13	z04352_y03200_x02688	8	-3	-116.36276705963763	-0.39572974095754132	29	2
node	111	13	z04352_y03200_x02688	9	0	6.0521116946370057	0.33725505035684	40	23
node	112	13	z04352_y03200_x02688	10	4	2.7559342748725157	0.12204842911063594	26	22
node	113	14	z04736_y03328_x02560	0	-4	-4.6770451283887269	1.0950660280056175	44	0
node	114	14	z04736_y03328_x02560	1	-5	-9.0510338438815552	0.38805380373195419	45	1
node	115	14	z04736_y03328_x02560	2	3	-5.396844156012321	-0.070891871210187321	53	23
node	116	14	z04736_y03328_x02560	3	-3	123.74544461057684	1.0447061519967342	37	2
node	117	14	z04736_y03328_x02560	4	-1	122.4734778825329	0.82715249297331872	33	2
node	118	15	z04480_y03584_x03072	0	-1	-2.9835907234878505	-1.1009732534428283	47	29
node	119	15	z04480_y03584_x03072	1	1	3.3406784053580623	-0.85193003310723936	41	27
node	120	15	z04480_y03584_x03072	2	1	18.147772086858936	-0.62606099958974071	36	1
